--------------------------------------------------------------------------------
ROSMOD::DEBUG::1436820123748374259::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820123748478149::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820124748806697::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820124748885136::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820125749168107::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820125749247345::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820126748505867::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820126748612908::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820127748851462::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820127748915002::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820128749196687::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820128749240020::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820129748536140::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820129748685365::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820130748913704::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820130748990405::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820131748260039::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820131748424911::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820132748842734::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820132748908464::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820133749256241::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820133749393894::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820134748689255::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820134748758829::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820135748992268::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820135749080442::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820136748203822::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820136748252372::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820137748555184::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820137748691719::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820138748971914::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820138749016621::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820139748151947::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820139748205191::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820140748602092::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820140748726474::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820141749067062::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820141749183626::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820142748466485::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820142748524300::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820143748766336::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820143748850691::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820144749157674::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820144749257482::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820145748490665::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820145748554592::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820146748854995::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820146748900317::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820147749154020::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820147749223361::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820148748522034::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820148748579793::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820149748981946::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820149749105387::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820150748388743::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820150748454760::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820151748763824::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820151748874592::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820152749181840::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820152749235892::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820153748484864::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820153748625907::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820154748951858::CALLBACK ENQUEUE::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
ROSMOD::DEBUG::1436820154749139508::CALLBACK INVOKED::Alias=Periodic_Timer, Priority=50, Deadline sec=0, nsec=400000
