%index, %time, %length (bits)
613,1438884230.93175530433654785156,8096
614,1438884230.941928863525390625,8096
615,1438884230.95209932327270507812,8096
616,1438884230.96226906776428222656,8096
617,1438884230.97242665290832519531,8096
618,1438884230.98260021209716796875,8096
619,1438884230.99277615547180175781,8096
620,1438884231.00300955772399902344,8096
621,1438884231.01327610015869140625,8096
622,1438884231.02354192733764648438,8096
623,1438884231.03381371498107910156,8096
624,1438884231.04408097267150878906,8096
625,1438884231.05435109138488769531,8096
626,1438884231.06461787223815917969,8096
627,1438884231.07487344741821289062,8096
628,1438884231.085445404052734375,8096
629,1438884231.09568858146667480469,8096
630,1438884231.10592985153198242188,8096
631,1438884231.11616873741149902344,8096
632,1438884231.1264095306396484375,8096
633,1438884231.13665127754211425781,8096
634,1438884231.14689493179321289062,8096
635,1438884231.15713572502136230469,8096
636,1438884231.16737413406372070312,8096
637,1438884231.17757415771484375,8096
638,1438884231.18776082992553710938,8096
639,1438884231.1979465484619140625,8096
640,1438884231.20813083648681640625,8096
641,1438884231.21833348274230957031,8096
642,1438884231.22857213020324707031,8096
643,1438884231.23881173133850097656,8096
644,1438884231.24905157089233398438,8096
645,1438884231.25928902626037597656,8096
646,1438884231.26953172683715820312,8096
647,1438884231.27977132797241210938,8096
648,1438884231.28999567031860351562,8096
649,1438884231.30023622512817382812,8096
650,1438884231.31044697761535644531,8096
651,1438884231.32068657875061035156,8096
652,1438884231.33092641830444335938,8096
653,1438884231.34116601943969726562,8096
654,1438884231.35136651992797851562,8096
655,1438884231.36155486106872558594,8096
656,1438884231.37173867225646972656,8096
657,1438884231.38196587562561035156,8096
658,1438884231.39221453666687011719,8096
659,1438884231.40247344970703125,8096
660,1438884231.41272592544555664062,8096
661,1438884231.42295670509338378906,8096
662,1438884231.43319058418273925781,8096
663,1438884231.44356298446655273438,8096
664,1438884231.45380163192749023438,8096
665,1438884231.46399044990539550781,8096
666,1438884231.47417712211608886719,8096
667,1438884231.48442006111145019531,8096
668,1438884231.49465847015380859375,8096
669,1438884231.50490236282348632812,8096
670,1438884231.51514267921447753906,8096
671,1438884231.52538943290710449219,8096
672,1438884231.53564381599426269531,8096
673,1438884231.5459041595458984375,8096
674,1438884231.55615639686584472656,8096
675,1438884231.56642270088195800781,8096
676,1438884231.57662725448608398438,8096
677,1438884231.58688640594482421875,8096
678,1438884231.59717106819152832031,8096
679,1438884231.60742855072021484375,8096
680,1438884231.61767840385437011719,8096
681,1438884231.62796831130981445312,8096
682,1438884231.63822984695434570312,8096
683,1438884231.64848971366882324219,8096
684,1438884231.65875673294067382812,8096
685,1438884231.66902232170104980469,8096
686,1438884231.67929220199584960938,8096
687,1438884231.689556121826171875,8096
688,1438884231.69981551170349121094,8096
689,1438884231.71008443832397460938,8096
690,1438884231.72031879425048828125,8096
691,1438884231.73056650161743164062,8096
692,1438884231.7408199310302734375,8096
693,1438884231.75108170509338378906,8096
694,1438884231.76135373115539550781,8096
695,1438884231.77155447006225585938,8096
696,1438884231.78181886672973632812,8096
697,1438884231.792083740234375,8096
698,1438884231.80235362052917480469,8096
699,1438884231.81261682510375976562,8096
700,1438884231.82289195060729980469,8096
701,1438884231.83315491676330566406,8096
702,1438884231.84341740608215332031,8096
703,1438884231.85366463661193847656,8096
704,1438884231.86390948295593261719,8096
705,1438884231.87417101860046386719,8096
706,1438884231.88443017005920410156,8096
707,1438884231.89466691017150878906,8096
708,1438884231.90493011474609375,8096
709,1438884231.91520786285400390625,8096
710,1438884231.92544913291931152344,8096
711,1438884231.93568682670593261719,8096
712,1438884231.94592404365539550781,8096
713,1438884231.95618414878845214844,8096
714,1438884231.9664440155029296875,8096
715,1438884231.97670507431030273438,8096
716,1438884231.986965179443359375,8096
717,1438884231.99722266197204589844,8096
718,1438884232.00648021697998046875,8096
719,1438884232.01474976539611816406,8096
720,1438884232.023014068603515625,8096
721,1438884232.03130412101745605469,8096
722,1438884232.03959321975708007812,8096
723,1438884232.04788231849670410156,8096
724,1438884232.05617117881774902344,8096
725,1438884232.0644626617431640625,8096
726,1438884232.07269930839538574219,8096
727,1438884232.08133482933044433594,8096
728,1438884232.09033679962158203125,8096
729,1438884232.09863233566284179688,8096
730,1438884232.1069278717041015625,8096
731,1438884232.11522650718688964844,8096
732,1438884232.12349867820739746094,8096
733,1438884232.1317920684814453125,8096
734,1438884232.14008617401123046875,8096
735,1438884232.14838337898254394531,8096
736,1438884232.15667963027954101562,8096
737,1438884232.16496729850769042969,8096
738,1438884232.17325496673583984375,8096
739,1438884232.18154454231262207031,8096
740,1438884232.18983483314514160156,8096
741,1438884232.19811367988586425781,8096
742,1438884232.20639395713806152344,8096
743,1438884232.21467304229736328125,8096
744,1438884232.22295212745666503906,8096
745,1438884232.23123073577880859375,8096
746,1438884232.23951101303100585938,8096
747,1438884232.24779200553894042969,8096
748,1438884232.25606369972229003906,8096
749,1438884232.264362335205078125,8096
750,1438884232.27266216278076171875,8096
751,1438884232.28095507621765136719,8096
752,1438884232.28926539421081542969,8096
753,1438884232.29755878448486328125,8096
754,1438884232.30585217475891113281,8096
755,1438884232.31415128707885742188,8096
756,1438884232.32244157791137695312,8096
757,1438884232.3307399749755859375,8096
758,1438884232.33903098106384277344,8096
759,1438884232.34729528427124023438,8096
760,1438884232.35556888580322265625,8096
761,1438884232.36386036872863769531,8096
762,1438884232.3721485137939453125,8096
763,1438884232.38043951988220214844,8096
764,1438884232.388736724853515625,8096
765,1438884232.39703035354614257812,8096
766,1438884232.40529775619506835938,8096
767,1438884232.4135894775390625,8096
768,1438884232.42188096046447753906,8096
769,1438884232.43017315864562988281,8096
770,1438884232.43844676017761230469,8096
771,1438884232.44673657417297363281,8096
772,1438884232.45502448081970214844,8096
773,1438884232.46329855918884277344,8096
774,1438884232.47159051895141601562,8096
775,1438884232.4798831939697265625,8096
776,1438884232.48816990852355957031,8096
777,1438884232.4964580535888671875,8096
778,1438884232.504749298095703125,8096
